Time,	x,	y,  leftS frontS rightS
0.0,	15.0,	5.0, true false false
1.0,	15.0,	5.0, false true false
2.0,	15.0,	5.0, true false false
3.0,	16.0,	5.0, true false false
4.0,	17.0,	5.0, true false false
5.0,	18.0,	5.0, true false false
6.0,	19.0,	5.0, true false false
7.0,	20.0,	5.0, true false false
8.0,	21.0,	5.0, true false false
9.0,	22.0,	5.0, true false false
10.0,	23.0,	5.0, true false false
11.0,	24.0,	5.0, true false false
12.0,	25.0,	5.0, true false false
13.0,	26.0,	5.0, true false false
14.0,	27.0,	5.0, true false false
15.0,	28.0,	5.0, true false false
16.0,	29.0,	5.0, true false false
17.0,	30.0,	5.0, true false false
18.0,	31.0,	5.0, true false false
19.0,	32.0,	5.0, true false false
20.0,	33.0,	5.0, true false false
21.0,	34.0,	5.0, true false false
22.0,	35.0,	5.0, true false false
23.0,	36.0,	5.0, true false false
24.0,	37.0,	5.0, true false false
25.0,	38.0,	5.0, true false false
26.0,	39.0,	5.0, true false false
27.0,	40.0,	5.0, true false false
28.0,	41.0,	5.0, true false false
29.0,	42.0,	5.0, true false false
30.0,	43.0,	5.0, true false false
31.0,	44.0,	5.0, true false false
32.0,	45.0,	5.0, true false false
33.0,	46.0,	5.0, true false false
34.0,	47.0,	5.0, true false false
35.0,	48.0,	5.0, true false false
36.0,	49.0,	5.0, true false false
37.0,	50.0,	5.0, true false false
38.0,	51.0,	5.0, true false false
39.0,	52.0,	5.0, true false false
40.0,	53.0,	5.0, true false false
41.0,	54.0,	5.0, true false false
42.0,	55.0,	5.0, true false false
43.0,	56.0,	5.0, true false false
44.0,	57.0,	5.0, true false false
45.0,	58.0,	5.0, true false false
46.0,	59.0,	5.0, true false false
47.0,	60.0,	5.0, true false false
48.0,	61.0,	5.0, true false false
49.0,	62.0,	5.0, true false false
50.0,	63.0,	5.0, true false false
51.0,	64.0,	5.0, true false false
52.0,	65.0,	5.0, true false false
53.0,	66.0,	5.0, true false false
54.0,	67.0,	5.0, false false false
